priority,site_name,slug,base_url
1.0,LucianBlagaUniversityofSibiuPress,lucian_blaga_university_of_sibiu_press,
1.0,TehranUniversityofMedicalSciences,tehran_university_of_medical_sciences,
1.0,UniversityofBahrainPress,university_of_bahrain_press,
1.0,UniversidadeNacionalTimorLorosaeResearchCenter,universidade_nacional_timor_lorosa_e_research_center,
1.0,UniversidadAmericana,universidad_americana,
1.0,BangladeshMaritimeUniversityPublications,bangladesh_maritime_university_publications,
1.0,GulistanStateUniversityEditorialPublishingDepartment,gulistan_state_university_editorial_publishing_department,
1.0,UTARPress,utar_press,
1.0,BangladeshForestResearchInstituteMangroveStation,bangladesh_forest_research_institute_mangrove_station,
1.0,UniversityofSplitPress,university_of_split_press,
1.0,UniversidaddeCarabobo,universidad_de_carabobo,
1.0,UniversityofEswatiniPublications,university_of_eswatini_publications,
1.0,UniversityofMalayaPress,university_of_malaya_press,
1.0,UETPress,uet_press,
1.0,EditorialUniversidadNacionalAgrariaNicaragua,editorial_universidad_nacional_agraria_nicaragua,
1.0,ISEASPublishing,iseas_publishing,
1.0,KaunasUniversityofTechnologyPress,kaunas_university_of_technology_press,
1.0,TEASPress,teas_press,
1.0,TashkentIslamicUniversityDevelopmentFund,tashkent_islamic_university_development_fund,
1.0,NeyPublishing,ney_publishing,
1.0,GrazUniversityLibraryPublishing,graz_university_library_publishing,
1.0,UniversidaddelZuliaPublications,universidad_del_zulia_publications,
1.0,IUGS,iugs,
1.0,AsiaPacificAssociationofForestryResearchInstitutionsAPAFRI,asia_pacific_association_of_forestry_research_institutions_apafri,
1.0,ShahidSadoughiUniversityofMedicalSciences,shahid_sadoughi_university_of_medical_sciences,
1.0,AmericanSamoaCommunityCollegeSSI,american_samoa_community_college_ssi,
1.0,UniversidadNacionaldeAgriculturaHonduras,universidad_nacional_de_agricultura_honduras,
1.0,AhmedBabaInstituteofHigherLearningandIslamicResearch,ahmed_baba_institute_of_higher_learning_and_islamic_research,
1.0,JinnahUniversityforWomen,jinnah_university_for_women,
1.0,UiTMPress,uitm_press,
1.0,UPMPress,upm_press,
1.0,TashkentStateUniversityofEconomicsPublishing,tashkent_state_university_of_economics_publishing,
1.0,MyanmarUniversityPress,myanmar_university_press,
1.0,AcademyofSciencesofAlbania,academy_of_sciences_of_albania,
1.0,AdvancedInstituteforIslamicStudiesandResearchMauritania,advanced_institute_for_islamic_studies_and_research_mauritania,
1.0,IUBS,iubs,
1.0,VEDAPublishingHouse,veda_publishing_house,
1.0,NearEastUniversityIslamicResearchCenter,near_east_university_islamic_research_center,
1.0,UniversityofLatviaPress,university_of_latvia_press,
1.0,RoyalUniversityofBhutan,royal_university_of_bhutan,
1.0,LuissUniversityPress,luiss_university_press,
1.0,UniversityofNoviSadPress,university_of_novi_sad_press,
1.0,GlobalLabourUniversity,global_labour_university,
1.0,TurkmenStateUniversityPublications,turkmen_state_university_publications,
1.0,AcademyoftheArabicLanguageinIsrael,academy_of_the_arabic_language_in_israel,
1.0,AcademyofSciencesofAfghanistan,academy_of_sciences_of_afghanistan,
1.0,StKlimentOhridskiUniversityPress,st_kliment_ohridski_university_press,
1.0,NUSPress,nus_press,
1.0,VASTPublishing,vast_publishing,
1.0,SanaaUniversityPublications,sana_a_university_publications,
1.0,PacificAdventistUniversityPublications,pacific_adventist_university_publications,
1.0,SolomonIslandsNationalUniversity,solomon_islands_national_university,
1.0,UniversityofIcelandPress,university_of_iceland_press,
1.0,PalauCommunityCollegePublications,palau_community_college_publications,
1.0,ASEANResearchCenterARC,asean_research_center_arc,
1.0,UniversityofBaghdadPublications,university_of_baghdad_publications,
1.0,Wayeb,wayeb,
1.0,PUCAC,pucac,
1.0,IUPAP,iupap,
1.0,NorthernMarianasCollegeImprint,northern_marianas_college_imprint,
1.0,ManasUniversityPress,manas_university_press,
1.0,MakerereUniversityPress,makerere_university_press,
1.0,UniversityofBelizePublications,university_of_belize_publications,
1.0,ArmenianStatePedagogicalUniversity,armenian_state_pedagogical_university,
1.0,SharifUniversityofTechnologyPress,sharif_university_of_technology_press,
1.0,EditorialUNAG,editorial_unag,
1.0,BarayevResearchandProductionCentreforGrainFarming,barayev_research_and_production_centre_for_grain_farming,
1.0,UNECPress,unec_press,
1.0,WorldMaritimeUniversity,world_maritime_university,
1.0,IUFRO,iufro,
1.0,CEUPress,ceu_press,
1.0,GylymPublishingHouse,gylym_publishing_house,
1.0,AfghanistanCentreatKabulUniversity,afghanistan_centre_at_kabul_university,
1.0,LumbiniBuddhistUniversityPublications,lumbini_buddhist_university_publications,
1.0,AbaiKazakhNationalPedagogicalUniversity,abai_kazakh_national_pedagogical_university,
1.0,UniversityofSanCarlosPress,university_of_san_carlos_press,
1.0,UniversityofthePhilippinesPress,university_of_the_philippines_press,
1.0,BangladeshAcademyofSciences,bangladesh_academy_of_sciences,
1.0,PacificTheologicalCollegePublishing,pacific_theological_college_publishing,
1.0,RoyalUniversityofPhnomPenhPublications,royal_university_of_phnom_penh_publications,
1.0,ProaPublications,proa_publications,
1.0,UUMPress,uum_press,
1.0,AfghanistanAcademyofSciences,afghanistan_academy_of_sciences,
1.0,AcademyofSciencesofMoldova,academy_of_sciences_of_moldova,
1.0,UniversityofBaghdadJournals,university_of_baghdad_journals,
1.0,UniversityofPeradeniyaPress,university_of_peradeniya_press,
1.0,UniversityofGuyanaPress,university_of_guyana_press,
1.0,AsianNetworkofTrainingandResearchInstitutionsinEducationalPlanning,asian_network_of_training_and_research_institutions_in_educational_planning,
1.0,UniversidadeAgostinhoNeto,universidade_agostinho_neto,
1.0,ArabCouncilfortheSocialSciencesACSS,arab_council_for_the_social_sciences_acss,https://www.theacss.org/
1.0,TIOPublishing,tio_publishing,
1.0,CanoePress,canoe_press,
