source_record_id,record_name,organization_or_adscription,admin1_name,municipality_name,website,raw_libreria_ce,pass34_role_review_bucket,pass34_role_review_triggers,pass34_candidate_strict_bookstore_review,pass34_promotion_status,pass34_promotion_blockers,source_record_url
2169,Librería Potala,"Librería Potala, S.A. de C.V.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2169
2042,"Librería de Porrúa Hermanos y Compañia, Sucursal Centro Médico Siglo XXI","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.porrua.mx/sucursales.php,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2042
1657,"Librería Editores Mexicanos Unidos, Casa Matriz","Editores Mexicanos Unidos, S.A.",Ciudad de México,Cuauhtémoc,https://editoresmexicanosunidos.mx/,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1657
855,Librería Correo de la UNESCO,"Correo de la UNESCO, S.A.",Ciudad de México,Cuauhtémoc,https://shop.unesco.org/es/collections/librairie?srsltid=AfmBOop-oJzrH4NZHIwJ7yg_KWo8wtPEmUrOcorFWdlHrRYQ5NxCeTd_,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=855
1912,Librería Morgana,Privada,Ciudad de México,Cuauhtémoc,http://www.libreria-morgana.com,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1912
1504,"Librería de Porrúa Hermanos y Comapañía, Sucursal Alameda","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://porrua.mx/sucursales/,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1504
2512,"Librería del Fondo de Cultura Económica (FCE)/Educal, sucursal Tina Modotti","FCE/Educal, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.fondodeculturaeconomica.com/LibreriasEstado/9,f,known_bookstore_chain_candidate_review,known_chain:fondo de cultura economica;known_chain: fce;known_chain:fce/;known_chain:educal,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2512
835,Librería Médica Roma,Particular,Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=835
444,"Librería del Fondo de Cultura Económica (FCE)/Educal, sucursal Palacio de Bellas Artes","Educal, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.fondodeculturaeconomica.com/LibreriasEstado/9,t,known_bookstore_chain_candidate_review,known_chain:fondo de cultura economica;known_chain:educal,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=444
783,Librería de Carsa,Particular,Ciudad de México,Cuauhtémoc,https://www.facebook.com/libreriadecarsa/?locale=es_LA,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=783
2410,Librería Casa Tomada,"CT Espacio Cultural, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.casatomada.com.mx/,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2410
1507,"Librería de Porrúa Hermanos y Compañía, Sucursal Pasaje Zócalo-Pino Suárez local 24","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://porrua.mx/sucursales/sucursal-Pasaje-Zocalo---Pino-Suarez-Local-24/,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1507
1573,Librería del Colegio Nacional de Economistas,"Federación de Colegios de Economistas de la República Mexicana, A.C.",Ciudad de México,Cuauhtémoc,http://www.federacioneconomistas.org/contacto/,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1573
303,"Librería San Ignacio, Sucursal Orizaba Miguel Agustín Pro","Obra Nacional de la Buena Prensa, A.C.",Ciudad de México,Cuauhtémoc,http://www.buenaprensa.com/ubicacion%20lib/orizaba.html,t,known_bookstore_chain_candidate_review,known_chain:buena prensa,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=303
